"ENV","Tmax_Maxima","Tmax_Minima","Tmax_Media","Tmax_ip_e_i","Tmax_fld_m","Tmax_V","Tmax_ACC_V","Tmax_R","Tmax_ACC_R","Tmax_EG","Tmax_ACC_EG","Tmin_Maxima","Tmin_Minima","Tmin_Media","Tmin_ip_e_i","Tmin_fld_m","Tmin_V","Tmin_ACC_V","Tmin_R","Tmin_ACC_R","Tmin_EG","Tmin_ACC_EG","Chuva_ACC","Chuva_ACC_V","Chuva_ACC_R","Chuva_ACC_EG","Rad_ACC","Rad_ACC_V","Rad_ACC_R","Rad_ACC_EG","umidade_Media","umidade_fld_m","umidade_V","umidade_R","umidade_EG","Vento_Media","Vento_fld_m","Vento_V","Vento_R","Vento_EG"
"ENV_1",38,23.8,30.2491379310345,30.4222222222222,33.6777777777778,28.6955555555556,1291.3,32.1818181818182,1062,30.31,1212.4,24.1,10.5,19.3241379310345,22.2666666666667,21.4111111111111,19.1822222222222,863.2,20.169696969697,665.6,18.855,754.2,753.8,508.4,82.2,204.8,2407.089473,844.549521,778.947213,820.463825,69.5991379310345,68.7222222222222,72.3444444444444,65.0151515151515,70.75,19.3241379310345,21.4111111111111,19.1822222222222,20.169696969697,18.855
"ENV_2",38.1,22.3,30.5243697478992,31.0888888888889,30.9555555555556,28.7022222222222,1291.6,33.0806451612903,1025.5,30.6244444444444,1378.1,24.1,11.2,19.3436974789916,22.7444444444444,19.1666666666667,18.4533333333333,830.4,21.0612903225806,652.9,19.1666666666667,862.5,744.6,508.8,115.2,121.4,2499.323567,836.691489,741.99571,970.838709,70.4915966386555,67.8888888888889,72.1555555555556,66.0967741935484,71.8888888888889,19.3436974789916,19.1666666666667,18.4533333333333,21.0612903225806,19.1666666666667
"ENV_3",36.6,22.9,30.7848484848485,25.9666666666667,34.3222222222222,30.1285714285714,1476.3,31.3128205128205,1221.2,31,1426,21,14.6,18.5227272727273,19.1,16.8222222222222,18.8285714285714,922.6,18.2820512820513,713,18.345652173913,843.9,831.8,438.8,181,224.6,2287.1,760.5,690.8,868.3,74.3030303030303,66.1111111111111,75.1020408163265,74.2564102564103,73.6521739130435,18.5227272727273,16.8222222222222,18.8285714285714,18.2820512820513,18.345652173913
"ENV_4",39.5,30.1,35.3883495145631,34.1888888888889,36.1555555555556,33.4410256410256,1304.2,35.23,1056.9,37.5972222222222,1353.5,28.4,18,21.9087378640777,20.3555555555556,22.8222222222222,21.8,850.2,21.5066666666667,645.2,22.4444444444444,808,59.9,48.3,8.2,3.4,2031.26,710.32,598.63,763.92,72.8640776699029,60.6666666666667,81.1538461538462,69.6,65.8333333333333,21.9087378640777,22.8222222222222,21.8,21.5066666666667,22.4444444444444
"ENV_5",39.5,30.1,35.3883495145631,34.1888888888889,35.9111111111111,33.4410256410256,1304.2,35.2068965517241,1021,37.5378378378378,1388.9,28.4,18,21.9087378640777,20.3555555555556,22.7777777777778,21.8,850.2,21.2827586206897,617.2,22.5945945945946,836,59.9,48.3,8.2,3.4,2031.26,710.32,577.1,785.71,72.8640776699029,61.6666666666667,81.1538461538462,70.0689655172414,65.8108108108108,21.9087378640777,22.7777777777778,21.8,21.2827586206897,22.5945945945946
"ENV_6",32.91,26.45,30.2910784313725,29.75,29.4455555555556,29.9014634146341,1225.96,30.0733333333333,902.2,30.9442424242424,1021.16,24.43,21.45,22.908137254902,22.5888888888889,23.0233333333333,22.7226829268293,931.63,22.718,681.54,23.3127272727273,769.32,536.36,259.34,157.59,127.92,1907,737.12,556.47,653.37,82.8547058823529,86.1011111111111,84.4058536585366,83.0316666666667,80.97,22.908137254902,23.0233333333333,22.7226829268293,22.718,23.3127272727273
"ENV_7",33.72,26.45,30.3784761904762,30.0377777777778,29.9844444444444,29.9155813953488,1286.37,30.0520689655172,871.51,31.1697142857143,1090.94,24.43,21.45,22.916380952381,22.6711111111111,22.9833333333333,22.73,977.39,22.7796551724138,660.61,23.3042857142857,815.65,540.42,270.44,153.7,130.92,1974.14,770.87,535.89,699.09,82.5964761904762,84.4744444444444,84.3858139534884,83.0306896551724,80.228,22.916380952381,22.9833333333333,22.73,22.7796551724138,23.3042857142857
"ENV_8",37.24,25.76,30.5263265306122,28.55,28.4111111111111,32.5171794871795,1268.17,28.9383333333333,868.15,29.3777419354839,910.71,25.37,21.34,23.3604081632653,22.6322222222222,22.5066666666667,23.5782051282051,919.55,23.101,693.03,23.2790322580645,721.65,887.18,303.24,307.07,298.34,1811.7,707.04,551.52,578.34,83.0076530612245,90.4866666666667,72.9464102564103,89.2763333333333,90.0396774193548,23.3604081632653,22.5066666666667,23.5782051282051,23.101,23.2790322580645
"ENV_9",37.32,25.43,31.4223140495868,30.7911111111111,30.3088888888889,32.3327777777778,1745.97,30.311875,969.98,30.9924324324324,1146.72,24.58,19.42,22.3476033057851,22.3488888888889,21.7266666666667,22.7751851851852,1229.86,21.8603125,699.53,22.1332432432432,818.93,519.34,205.98,156.89,161.64,2100.24,971.61,501.79,650.95,71.7523966942149,79.0622222222222,65.6433333333333,76.8425,76.5816216216216,22.3476033057851,21.7266666666667,22.7751851851852,21.8603125,22.1332432432432
"ENV_10",37.8,28.4,32.6424778761062,32.0444444444444,32.0111111111111,33.1289473684211,1258.9,32.3777777777778,1165.6,32.3536585365854,1326.5,25,20.6,23.2203539823009,23.0555555555556,23.3888888888889,23.4078947368421,889.5,23.1388888888889,833,23.1341463414634,948.5,787.1,218.2,262.5,310,2092.77,718.03,662.55,749.61,82.5575221238938,82,77.3684210526316,86.4166666666667,83.9024390243902,23.2203539823009,23.3888888888889,23.4078947368421,23.1388888888889,23.1341463414634
"ENV_11",33.49,25.65,29.9626548672566,30.1033333333333,29.5222222222222,30.2594827586207,1755.05,29.5765384615385,768.99,29.7651612903226,922.72,23.41,19.95,21.8716814159292,21.8233333333333,22.09,21.8389655172414,1266.66,21.67,563.42,22.0735483870968,684.28,721.26,344.8,121.48,256.3,2220.42,1195.08,501.13,573.93,79.8537168141593,82.7755555555556,78.0246551724138,80.5480769230769,82.7425806451613,21.8716814159292,22.09,21.8389655172414,21.67,22.0735483870968
"ENV_12",33.48,25.65,29.6759,29.5666666666667,30.3544444444444,29.8175555555556,1341.79,29.5134615384615,767.35,29.6890322580645,920.36,23.39,19.95,21.9045,21.9488888888889,22.4577777777778,21.6531111111111,974.39,21.7911538461538,566.57,22.3938709677419,694.21,736.3,296.66,159.7,289.75,1864.35,889.54,475.03,544.49,81.7336,82.1877777777778,79.6262222222222,82.6707692307692,83.9703225806452,21.9045,22.4577777777778,21.6531111111111,21.7911538461538,22.3938709677419
"ENV_13",35.9,24.6,31.0557522123894,32.1888888888889,30.5222222222222,30.5804347826087,1406.7,31.8117647058824,1081.6,30.9457142857143,1083.1,24.3,19.3,21.3407079646018,20.6666666666667,21.1555555555556,21.8065217391304,1003.1,20.8176470588235,707.8,21.2285714285714,743,395.4,310.6,84.8,0,1919.680944,768.314372,570.86,621.706572,75.6991150442478,77.8888888888889,76.8478260869565,74.3970588235294,75.6,21.3407079646018,21.1555555555556,21.8065217391304,20.8176470588235,21.2285714285714
"ENV_14",36.6,23.8,30.7890756302521,30.5777777777778,27.5777777777778,31.69375,2028.4,29.7846153846154,774.4,29.6258064516129,918.4,21,14.6,18.5142857142857,18.8222222222222,19.0555555555556,18.2375,1167.2,18.5692307692308,482.8,19.1161290322581,592.6,556.4,218.8,142.8,196.9,2099.3,1195,448.7,481.6,75.1008403361345,81,72.6875,76.4230769230769,78.9677419354839,18.5142857142857,19.0555555555556,18.2375,18.5692307692308,19.1161290322581
"ENV_15",34.4,26,30.7689075630252,31.1111111111111,31.3111111111111,30.8125,1972,30.8230769230769,801.4,30.7193548387097,952.3,21.6,10.8,18.8915966386555,19.6444444444444,20.4222222222222,18.9359375,1211.9,19.6153846153846,510,18.2548387096774,565.9,626,364.7,114,152.8,2116.17,1211.37,406.5,532.8,82.3109243697479,85.3333333333333,81.09375,84.5384615384615,83.0322580645161,18.8915966386555,20.4222222222222,18.9359375,19.6153846153846,18.2548387096774
"ENV_16",34.8,21.2,28.9487394957983,28.9666666666667,24.8888888888889,29.8546875,1910.7,27.7884615384615,722.5,27.8516129032258,863.4,21.1,17,19.1294117647059,18.7333333333333,18.2,19.31875,1236.4,18.7807692307692,488.3,19.0354838709677,590.1,800.8,285.4,225,307.4,2056.5,1245.4,399,431.9,42.5613445378151,12.3333333333333,42.4375,36.7038461538462,48.1451612903226,19.1294117647059,18.2,19.31875,18.7807692307692,19.0354838709677
"ENV_17",36.13,23.71,28.538487394958,28.13,25.7766666666667,29.67015625,1898.89,27.3161538461538,710.22,27.1093548387097,840.39,21.02,17.29,19.4043697478992,19.1355555555556,18.8344444444444,19.53203125,1250.05,19.2769230769231,501.2,19.2438709677419,596.56,619.17,306.37,149.23,182.94,2471.71,1439.2,520.14,553.65,77.3932773109244,86.1466666666667,72.7884375,81.3769230769231,84.0848387096774,19.4043697478992,18.8344444444444,19.53203125,19.2769230769231,19.2438709677419
"ENV_18",36.6,22.9,30.3848739495798,32.9,30.6777777777778,30.9015625,1977.7,30.5269230769231,793.7,29.2741935483871,907.5,21,14.6,18.5176470588235,18.3777777777778,17.5666666666667,18.3703125,1175.7,18.5423076923077,482.1,18.6903225806452,579.4,781.3,454.5,128.3,211.7,2038.6,1102.7,469.2,501.1,75.6134453781513,74.8888888888889,74.375,75.0769230769231,78.3548387096774,18.5176470588235,17.5666666666667,18.3703125,18.5423076923077,18.6903225806452
"ENV_19",34.29,24.75,29.5787096774194,30.1266666666667,29.4466666666667,31.0778787878788,1025.57,29.6458064516129,919.02,27.9945161290323,867.83,21.69,17.13,19.7925806451613,20.2188888888889,20.1244444444444,19.8727272727273,655.8,19.9603225806452,618.77,19.5809677419355,607.01,378.81,103.17,123.17,154.97,1710.55,691.26,566.15,499.89,74.0697849462366,75.5711111111111,67.6245454545455,75.1332258064516,79.588064516129,19.7925806451613,20.1244444444444,19.8727272727273,19.9603225806452,19.5809677419355
"ENV_20",34.1,25.6,31.14,30.5777777777778,31.3333333333333,30.8863636363636,1359,30.934375,989.9,31.6806451612903,982.1,24.5,20.2,22.4666666666667,22.1888888888889,22.4666666666667,22.4863636363636,989.4,22.421875,717.5,22.5032258064516,697.6,83.2,7.4,5.4,70.8,1891.969315,759.71599,632.827381,534.555004,71.9428571428571,72.7777777777778,70.375,73.265625,72.8548387096774,22.4666666666667,22.4666666666667,22.4863636363636,22.421875,22.5032258064516
"ENV_21",32.55,27.67,30.3832323232323,30.19,30.1233333333333,30.3161904761905,1273.28,30.265,847.42,30.5438709677419,946.86,24.84,21.73,23.5342424242424,23.2911111111111,23.5622222222222,23.4207142857143,983.67,23.5310714285714,658.87,23.6816129032258,734.13,794.54,394.17,257.84,172.22,1839.23,760.4,536.82,579.7,87.3076767676768,88.0611111111111,86.6309523809524,88.7039285714286,87.0077419354839,23.5342424242424,23.5622222222222,23.4207142857143,23.5310714285714,23.6816129032258
"ENV_22",36.6,22.9,30.8471014492754,26.6,33.9222222222222,30.4901960784314,1555,31.2333333333333,1311.8,30.8106382978723,1448.1,21,14.6,18.4978260869565,19.1666666666667,16.6555555555556,18.7235294117647,954.9,18.2690476190476,767.3,18.4595744680851,867.6,866.7,430.9,190.3,252,2393.1,811.1,742,871.7,74.0289855072464,67.4444444444444,73.921568627451,74.2857142857143,74.1702127659574,18.4978260869565,16.6555555555556,18.7235294117647,18.2690476190476,18.4595744680851
"ENV_23",31.33,20.99,25.7729752066116,26.5533333333333,27.8222222222222,24.0792105263158,915.01,26.2969047619048,1104.47,26.7086046511628,1148.47,25.29,17.37,21.6259504132231,21.1144444444444,23.9077777777778,19.6452631578947,746.52,21.9571428571429,922.2,23.0141860465116,989.61,438.7,106.91,191.08,146.28,2806.75,924.31,975.94,959.78,77.5409917355372,79.0311111111111,77.9576315789474,78.6309523809524,75.9811627906977,21.6259504132231,23.9077777777778,19.6452631578947,21.9571428571429,23.0141860465116
"ENV_24",36.9,23.8,31.7955223880597,32.5555555555556,31.3777777777778,31.7508196721311,1936.8,31.7444444444444,1142.8,31.8846153846154,1243.5,24.5,20,22.2828358208955,22.5888888888889,22.2888888888889,22.5196721311475,1373.7,21.8694444444444,787.3,22.2282051282051,866.9,264.8,89,8.4,167.4,2508.12504,1130.190627,682.714385,736.697476,72.7611940298507,74.5,72.4098360655738,73.1944444444444,72.9358974358974,22.2828358208955,22.2888888888889,22.5196721311475,21.8694444444444,22.2282051282051
"ENV_25",35.15,25.64,30.5498260869565,30.05,29.9555555555556,30.839,1850.34,30.81,801.06,29.7470967741935,922.16,24.35,20.77,22.6408695652174,21.6911111111111,22.8377777777778,22.6931666666667,1361.59,22.4388461538462,583.41,22.658064516129,702.4,693.01,331.81,157.08,213.51,2078.22,1140.88,532.76,436.48,80.2835652173913,82.4955555555556,79.22,79.1515384615385,83.191935483871,22.6408695652174,22.8377777777778,22.6931666666667,22.4388461538462,22.658064516129
"ENV_26",39.31,29.8,35.497094017094,34.4266666666667,35.9833333333333,35.23,1620.58,36.0933333333333,1191.08,35.24625,1409.85,27.66,22.84,25.165641025641,24.2877777777778,25.3744444444444,24.9789130434783,1149.03,25.1815151515151,830.99,25.32675,1013.07,72.74,22.14,10.63,41.35,2136.48,865.67,621.3,687.03,52.4006837606838,49.0022222222222,53.9130434782609,49.5360606060606,53.22925,25.165641025641,25.3744444444444,24.9789130434783,25.1815151515151,25.32675
"ENV_27",40.5,30.1,36.2542372881356,35.1,37.4888888888889,33.6236842105263,1277.7,36.4146341463415,1493,38.519512195122,1579.3,28.4,18,22.0949152542373,22.1555555555556,22.7777777777778,21.7052631578947,824.8,21.7268292682927,890.8,22.8585365853659,937.2,58.6,41.5,2.8,14.3,2415.2,689.8,873.15,893.96,69.2881355932203,69.6666666666667,78.6842105263158,68.0487804878049,62.0975609756098,22.0949152542373,22.7777777777778,21.7052631578947,21.7268292682927,22.8585365853659
"ENV_28",36.29,24.75,30.0841176470588,28.5655555555556,29.68,31.2478125,1999.86,29.4915384615385,766.78,28.1432258064516,872.44,21.69,17.13,19.9404201680672,19.5722222222222,20.0288888888889,20.06265625,1284.01,19.8842307692308,516.99,19.6790322580645,610.05,466.37,202.51,114.95,157.2,2254.26,1319.46,457.36,509.56,71.6439495798319,75.4144444444444,66.28328125,75.9769230769231,79.2987096774194,19.9404201680672,20.0288888888889,20.06265625,19.8842307692308,19.6790322580645
"ENV_29",39.55,30.84,37.1140833333333,36.21,38.2344444444444,34.7342424242424,1146.23,37.6587234042553,1769.96,38.3959523809524,1612.63,25.52,22.4,24.1503333333333,23.7244444444444,24.2988888888889,23.6406060606061,780.14,24.0274468085106,1129.29,24.6771428571429,1036.44,43.12,42.37,0.36,0.41,2708.5,620.34,1089.06,1045.18,54.109,51.2288888888889,61.6621212121212,51.3002127659574,51.0290476190476,24.1503333333333,24.2988888888889,23.6406060606061,24.0274468085106,24.6771428571429
"ENV_30",35.4,25.1,30.9444444444444,27.5777777777778,31.8,30.8770491803279,1883.5,30.02,900.6,31.7027027027027,1173,21.2,15.8,19.3103174603175,20.2222222222222,19.2555555555556,19.5491803278689,1192.5,18.8833333333333,566.5,19.2648648648649,712.8,871.4,479,290,113.4,1846.86,1004,412.16,448.9,76.9285714285714,76.5555555555556,76.4754098360656,80.3333333333333,75.4324324324324,19.3103174603175,19.2555555555556,19.5491803278689,18.8833333333333,19.2648648648649
"ENV_31",35.7,25.1,30.9426086956522,30.9666666666667,29.9222222222222,29.8018867924528,1579.5,31.4689655172414,912.6,32.1885714285714,1126.6,21.2,15.8,19.0313043478261,18.5666666666667,19.8111111111111,19.4245283018868,1029.5,19.3103448275862,560,18.2314285714286,638.1,716.8,484.1,138.3,114.6,1671.16,806.4,273.16,602.3,76.9217391304348,78.5555555555556,79.3018867924528,75.6551724137931,74.0857142857143,19.0313043478261,19.8111111111111,19.4245283018868,19.3103448275862,18.2314285714286
"ENV_32",35.7,25.1,30.9236842105263,30.9777777777778,30.6777777777778,29.8865384615385,1554.1,31.5551724137931,915.1,31.9342857142857,1117.7,21.2,15.8,19.0701754385965,17.8777777777778,19.8777777777778,19.3711538461538,1007.3,19.1310344827586,554.8,18.5085714285714,647.8,716.8,472,148.7,116.1,1650.66,831,280.36,565.7,76.9736842105263,77.8888888888889,79.0192307692308,75.9310344827586,75.0285714285714,19.0701754385965,19.8777777777778,19.3711538461538,19.1310344827586,18.5085714285714
"ENV_33",34,23.4,29.3831932773109,29.8333333333333,28.9666666666667,28.7140625,1837.7,29.8307692307692,775.6,30.2967741935484,939.2,21.6,17.8,19.9974789915966,19.4,20.0666666666667,20.0015625,1280.1,19.9576923076923,518.9,19.9774193548387,619.3,737.8,531.4,95.8,115.2,1875.5,959.1,424.5,516.6,79.1596638655462,82.7888888888889,81.3921875,79.5192307692308,74.5516129032258,19.9974789915966,20.0666666666667,20.0015625,19.9576923076923,19.9774193548387
"ENV_34",38.9,25.1,31.5161538461538,32.9555555555556,27.5777777777778,33.0553571428571,1851.1,30.1131578947368,1144.3,30.6026315789474,1162.9,21.2,14.3,19.1484615384615,18.7555555555556,20.2222222222222,19.0196428571429,1065.1,19.5815789473684,744.1,18.9394736842105,719.7,936.5,336.7,318,307.8,2007.26,983.7,594.6,461.26,75.1692307692308,87.3333333333333,71.25,77.5526315789474,78.7894736842105,19.1484615384615,20.2222222222222,19.0196428571429,19.5815789473684,18.9394736842105
